date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-20,297625.581868,46681.24,298060.340851,46749.43,294684.854,46220.0,296380.15263,46485.9,1333.23426,1333.23426,49979.36,56476.2416,47095.22145,-0.00418433704510357,-0.19541507107159084,-0.22342298696959573,1
2021-12-19,298602.530379,46834.47,307946.373757,48300.01,295876.536087,46406.91,297625.518111,46681.23,29305.70665,29305.70665,50534.111,56779.8008,47049.65869999999,-0.003272161877317714,-0.18496153985831132,-0.22201100855415346,1
2021-12-18,294135.459931,46133.83,302159.533409,47392.37,290094.35,45500.0,298602.594136,46834.48,25020.05271,25020.05271,51056.131,57088.1854,46998.95175000001,0.015245213651498446,-0.1441228354071551,-0.2164102104213328,1
2021-12-17,303689.765166,47632.38,306007.842172,47995.96,289813.8192,45456.0,294118.69184,46131.2,43104.4887,43104.4887,51485.6225,57377.0792,46954.56479999999,-0.03151595616259362,-0.14137019457612476,-0.20658437006708008,1
2021-12-16,311548.452986,48864.98,315191.846751,49436.43,302915.8827,47511.0,303689.765166,47632.38,31949.86739,31949.86739,51790.33,57592.7004,46894.60925000001,-0.02522460870750398,-0.1921287454825582,-0.17984824420877477,1
2021-12-15,308181.892115,48336.95,315597.15,49500.0,296769.7079,46547.0,311548.452986,48864.98,51629.181,51629.181,52295.099,57821.977,46823.310099999995,0.010791572272299321,-0.14479449770022867,-0.1266851284415884,1
2021-12-14,297762.786932,46702.76,310499.204037,48700.41,295131.153,46290.0,308222.250296,48343.28,39955.98445,39955.98445,52734.8495,58116.68699999999,46759.91115,0.035127053546097464,-0.15985031265385696,-0.166367971664642,1
2021-12-13,319128.65023,50053.9,319996.191729,50189.97,291195.752175,45672.75,297762.723175,46702.75,50869.52093,50869.52093,53276.7755,58399.6764,46719.047300000006,-0.06695082700848487,-0.16968726254365107,-0.2101681397206392,1
2021-12-12,314895.759243,49389.99,323738.9189,50777.0,310101.2966,48638.0,319128.65023,50053.9,26017.93421,26017.93421,53586.4395,58624.333399999996,46664.98735,0.013442197497914199,-0.14615873011540703,-0.13999705508452376,1
2021-12-11,300553.940878,47140.54,315506.041247,49485.71,298070.3507,46751.0,314895.759243,49389.99,28889.19358,28889.19358,54048.041000000005,58850.29800000001,46609.66100000001,0.04771795147022062,-0.1728010429508784,-0.13429779951391674,1
