date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),20dma,50dma,200dma,daily_return,monthly_return,annual_return,label
2021-12-20,7.9344808,1.244,8.0173974,1.257,7.8196732,1.226,7.9281026,1.243,13828015.6,13828015.6,1.3656000000000001,1.68536,1.8402225,0.0,-0.22361024359775128,-0.05425660612793026,-1
2021-12-19,7.9217244,1.242,8.3681984,1.312,7.908968,1.24,7.9281026,1.243,124074683.5,124074683.5,1.3835,1.6995999999999998,1.8427745000000002,0.0008051529790660261,-0.2202007528230866,-0.016263701476000092,-1
2021-12-18,7.7686476,1.218,8.0811794,1.267,7.65384,1.2,7.9217244,1.242,81211094.1,81211094.1,1.4011,1.71506,1.845246,0.019704433497536922,-0.19507453013609843,0.020148340410852006,-1
2021-12-17,7.908968,1.24,8.0301538,1.259,7.5390324,1.182,7.7686476,1.218,138092226.1,138092226.1,1.4173499999999999,1.7304400000000002,1.8478424999999998,-0.01774193548387093,-0.20547945205479445,0.013302717947438092,-1
2021-12-16,8.3618202,1.311,8.4893842,1.331,7.8834552,1.236,7.908968,1.24,117662885.3,117662885.3,1.432,1.7438799999999999,1.8495180000000002,-0.05415713196033556,-0.25970149253731345,0.017010317733707314,-1
2021-12-15,8.0811794,1.267,8.4893842,1.331,7.6793528,1.204,8.3618202,1.311,170247496.3,170247496.3,1.4502000000000002,1.7604,1.8499775,0.03554502369668233,-0.21308523409363744,0.11708518307074867,-1
2021-12-14,7.8005386,1.223,8.1896088,1.284,7.6410836,1.198,8.0748012,1.266,175476318.0,175476318.0,1.4702,1.77796,1.8512140000000001,0.03515944399018811,-0.27698458023986283,0.011182108626198062,-1
2021-12-13,8.578679,1.345,8.6552174,1.357,7.65384,1.2,7.8005386,1.223,184388318.4,184388318.4,1.4966,1.7959,1.853375,-0.09138187221396732,-0.31137387387387383,0.009242449249051043,-1
2021-12-12,8.6360828,1.354,9.025153,1.415,8.4128458,1.319,8.5850572,1.346,149463677.1,149463677.1,1.5181,1.8123000000000002,1.8555404999999998,-0.005908419497784312,-0.26648501362397814,0.13869008341370148,-1
2021-12-11,7.7240002,1.211,8.6871084,1.362,7.6028144,1.192,8.6360828,1.354,179118114.1,179118114.1,1.54215,1.8283399999999999,1.8565365,0.11808422791081741,-0.295525494276795,0.16485142552349497,-1
2021-12-10,8.2151216,1.288,8.5085188,1.334,7.6984874,1.207,7.7240002,1.211,192968833.1,192968833.1,1.5776999999999999,1.8468599999999997,1.8582315,-0.06051202482544593,-0.34997316156736447,0.017664162422897922,-1
2021-12-09,8.9039672,1.396,8.9868838,1.409,8.2087434,1.287,8.2214998,1.289,174568058.8,174568058.8,1.6064,1.86488,1.858356,-0.07664756446991405,-0.27827547592385227,0.08889395744105699,1
2021-12-08,8.7891596,1.378,9.0761786,1.423,8.5276534,1.337,8.9039672,1.396,187594478.2,187594478.2,1.6259000000000001,1.8791600000000002,1.8586905000000002,0.013062409288824295,-0.255863539445629,0.17122937134515182,1
